TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315967507.64243054,00000000-0000-0000-0000-000000011999,OTHERS,598.0392269998102,949.4053073509108,MIA
315967507.74020386,00000000-0000-0000-0000-000000011999,OTHERS,598.0386041322403,949.1408941642968,MIA
315967507.8376459,00000000-0000-0000-0000-000000011999,OTHERS,598.037044703672,949.0592613537068,MIA
315967507.9368728,00000000-0000-0000-0000-000000011999,OTHERS,598.061988027366,948.8447790068196,MIA
315967508.03838736,00000000-0000-0000-0000-000000011999,OTHERS,598.0431469850638,948.8094109876104,MIA
315967508.1405179,00000000-0000-0000-0000-000000011999,OTHERS,598.0254939953994,948.7485786744344,MIA
315967508.23242766,00000000-0000-0000-0000-000000011999,OTHERS,598.0432003148218,948.4244528300434,MIA
315967508.33992213,00000000-0000-0000-0000-000000011999,OTHERS,598.0187139086672,948.3921798389838,MIA
315967508.4317218,00000000-0000-0000-0000-000000011999,OTHERS,598.0433958907953,948.18457658768,MIA
315967508.5360878,00000000-0000-0000-0000-000000011999,OTHERS,598.0508945277311,948.0255923579256,MIA
315967508.63524646,00000000-0000-0000-0000-000000011999,OTHERS,598.0436721548073,947.8323065084652,MIA
315967508.7418264,00000000-0000-0000-0000-000000011999,OTHERS,598.1222337048551,947.6163266774432,MIA
315967508.8488975,00000000-0000-0000-0000-000000011999,OTHERS,598.1149185420765,947.564058994574,MIA
315967508.9482121,00000000-0000-0000-0000-000000011999,OTHERS,598.1294276961153,947.4840760225836,MIA
315967509.0461016,00000000-0000-0000-0000-000000011999,OTHERS,598.1562373574627,947.3939896056364,MIA
315967509.13959694,00000000-0000-0000-0000-000000011999,OTHERS,598.1600796126032,947.2975299427934,MIA
315967509.24178,00000000-0000-0000-0000-000000011999,OTHERS,598.1861153295649,947.1694406807592,MIA
315967509.3445944,00000000-0000-0000-0000-000000011999,OTHERS,598.1915016017025,947.084717785376,MIA
315967509.4478343,00000000-0000-0000-0000-000000011999,OTHERS,598.1733766290257,946.9555157711786,MIA
315967509.5558904,00000000-0000-0000-0000-000000011999,OTHERS,598.1766003273667,946.6301028854836,MIA
315967509.6534236,00000000-0000-0000-0000-000000011999,OTHERS,598.136987022516,946.3724290510556,MIA
315967509.75432,00000000-0000-0000-0000-000000011999,OTHERS,598.0778608206659,946.0036915192763,MIA
315967509.85810715,00000000-0000-0000-0000-000000011999,OTHERS,598.090217037093,945.7390424208808,MIA
315967509.9572422,00000000-0000-0000-0000-000000011999,OTHERS,598.178612661068,945.456518559962,MIA
315967510.05890936,00000000-0000-0000-0000-000000011999,OTHERS,598.0960081960615,945.0358460869236,MIA
315967510.15131056,00000000-0000-0000-0000-000000011999,OTHERS,598.1521598622944,945.0197840878652,MIA
315967510.251913,00000000-0000-0000-0000-000000011999,OTHERS,598.0490873652062,944.3662678851376,MIA
315967510.3487347,00000000-0000-0000-0000-000000011999,OTHERS,598.1709916896186,943.9765168588016,MIA
315967510.45201665,00000000-0000-0000-0000-000000011999,OTHERS,598.2231871423534,943.9240048114408,MIA
315967510.5482621,00000000-0000-0000-0000-000000011999,OTHERS,598.2377237840087,943.6795794110684,MIA
315967510.65007097,00000000-0000-0000-0000-000000011999,OTHERS,598.2627235413092,943.89176024883,MIA
315967510.7471379,00000000-0000-0000-0000-000000011999,OTHERS,598.3069720512093,943.9692919217404,MIA
315967510.84329176,00000000-0000-0000-0000-000000011999,OTHERS,598.3095129461458,943.7116189263176,MIA
315967510.95019966,00000000-0000-0000-0000-000000011999,OTHERS,598.7190237482429,944.8539358186435,MIA
315967511.0455217,00000000-0000-0000-0000-000000011999,OTHERS,598.720375990893,944.754154432056,MIA
315967511.14627755,00000000-0000-0000-0000-000000011999,OTHERS,598.7188292455036,944.5206503406864,MIA
315967511.2507228,00000000-0000-0000-0000-000000011999,OTHERS,598.7498400567002,944.2544316050185,MIA
315967511.35146326,00000000-0000-0000-0000-000000011999,OTHERS,598.7596527519428,943.9957436030356,MIA
315967511.4466843,00000000-0000-0000-0000-000000011999,OTHERS,598.7652057251925,943.714250139966,MIA
315967511.54975915,00000000-0000-0000-0000-000000011999,OTHERS,598.7799761477494,943.4619311532796,MIA
315967511.65371823,00000000-0000-0000-0000-000000011999,OTHERS,598.8388904997207,942.8162659757036,MIA
315967511.75529313,00000000-0000-0000-0000-000000011999,OTHERS,598.8338076009162,942.6325112067848,MIA
315967511.8535706,00000000-0000-0000-0000-000000011999,OTHERS,598.8427390814844,942.4547424722956,MIA
315967511.95180786,00000000-0000-0000-0000-000000011999,OTHERS,598.8432004106893,942.3179703881958,MIA
315967512.04613066,00000000-0000-0000-0000-000000011999,OTHERS,598.8431111985998,942.0210830217752,MIA
315967512.1519522,00000000-0000-0000-0000-000000011999,OTHERS,598.8515414131348,941.6700760503476,MIA
